C,Test_error,Train_error,kernel_h_p
1,78.2967033,81.85388845,1
1,93.40659341,95.75805185,2
1,93.68131868,97.25058916,3
1,94.50549451,97.40769835,4
1,93.13186813,97.01492537,5
1,92.85714286,96.5435978,6
1,92.85714286,96.6221524,7
1,92.85714286,97.09347997,8
1,93.13186813,97.64336214,9
1,93.68131868,98.03613511,10
1,93.95604396,98.2717989,11
1,93.40659341,98.50746269,12
1,93.95604396,98.66457188,13
1,94.50549451,99.13589945,14
1,94.78021978,99.37156324,15
1,95.05494505,99.52867243,16
1,95.32967033,99.60722702,17
1,95.05494505,99.60722702,18
1,95.87912088,99.9214454,19
1,95.6043956,99.9214454,20
2,78.2967033,81.85388845,1
2,93.40659341,95.75805185,2
2,93.68131868,97.17203456,3
2,94.23076923,97.48625295,4
2,93.13186813,96.93637078,5
2,92.85714286,96.5435978,6
2,92.85714286,96.5435978,7
2,92.85714286,97.09347997,8
2,93.13186813,97.64336214,9
2,93.40659341,98.03613511,10
2,93.95604396,98.2717989,11
2,93.95604396,98.50746269,12
2,93.95604396,98.66457188,13
2,94.50549451,99.13589945,14
2,94.78021978,99.37156324,15
2,95.05494505,99.52867243,16
2,95.32967033,99.60722702,17
2,95.6043956,99.60722702,18
2,95.87912088,99.9214454,19
2,95.6043956,99.9214454,20
3,78.2967033,81.85388845,1
3,93.40659341,95.75805185,2
3,93.68131868,97.17203456,3
3,93.68131868,97.32914375,4
3,93.13186813,97.01492537,5
3,93.13186813,96.5435978,6
3,92.85714286,96.5435978,7
3,92.85714286,97.09347997,8
3,93.13186813,97.64336214,9
3,93.40659341,98.03613511,10
3,94.23076923,98.2717989,11
3,93.95604396,98.50746269,12
3,93.95604396,98.66457188,13
3,94.50549451,99.13589945,14
3,94.78021978,99.37156324,15
3,95.05494505,99.52867243,16
3,95.32967033,99.60722702,17
3,95.87912088,99.60722702,18
3,95.87912088,99.9214454,19
3,95.87912088,99.9214454,20
4,78.2967033,81.85388845,1
4,93.40659341,95.75805185,2
4,93.95604396,97.09347997,3
4,94.23076923,97.56480754,4
4,93.13186813,97.01492537,5
4,93.13186813,96.5435978,6
4,92.85714286,96.5435978,7
4,92.85714286,97.09347997,8
4,93.13186813,97.64336214,9
4,93.40659341,98.03613511,10
4,93.95604396,98.2717989,11
4,93.95604396,98.50746269,12
4,93.95604396,98.66457188,13
4,94.50549451,99.13589945,14
4,94.78021978,99.37156324,15
4,95.05494505,99.52867243,16
4,95.32967033,99.60722702,17
4,95.87912088,99.60722702,18
4,95.87912088,99.9214454,19
4,95.87912088,99.9214454,20
5,78.2967033,81.85388845,1
5,93.40659341,95.75805185,2
5,93.95604396,97.17203456,3
5,94.23076923,97.48625295,4
5,93.13186813,97.17203456,5
5,93.13186813,96.5435978,6
5,92.85714286,96.5435978,7
5,92.85714286,97.09347997,8
5,93.13186813,97.64336214,9
5,93.40659341,98.03613511,10
5,93.95604396,98.2717989,11
5,94.23076923,98.50746269,12
5,94.23076923,98.66457188,13
5,94.50549451,99.13589945,14
5,94.78021978,99.37156324,15
5,94.78021978,99.52867243,16
5,95.32967033,99.60722702,17
5,95.87912088,99.60722702,18
5,95.87912088,99.9214454,19
5,95.87912088,99.9214454,20
6,78.2967033,81.85388845,1
6,93.40659341,95.75805185,2
6,93.95604396,97.17203456,3
6,93.95604396,97.48625295,4
6,93.13186813,97.17203456,5
6,93.13186813,96.5435978,6
6,92.85714286,96.5435978,7
6,92.85714286,97.09347997,8
6,93.13186813,97.56480754,9
6,93.40659341,98.03613511,10
6,93.95604396,98.2717989,11
6,94.23076923,98.50746269,12
6,94.50549451,98.66457188,13
6,94.50549451,99.13589945,14
6,94.78021978,99.37156324,15
6,94.78021978,99.52867243,16
6,95.32967033,99.60722702,17
6,95.87912088,99.60722702,18
6,95.87912088,99.9214454,19
6,95.87912088,99.9214454,20
7,78.2967033,81.85388845,1
7,93.40659341,95.75805185,2
7,93.95604396,97.25058916,3
7,93.95604396,97.40769835,4
7,93.13186813,97.09347997,5
7,93.13186813,96.5435978,6
7,93.13186813,96.5435978,7
7,92.85714286,97.09347997,8
7,93.13186813,97.56480754,9
7,93.40659341,98.03613511,10
7,93.95604396,98.2717989,11
7,94.23076923,98.50746269,12
7,94.50549451,98.66457188,13
7,94.78021978,99.13589945,14
7,94.78021978,99.37156324,15
7,94.78021978,99.52867243,16
7,95.32967033,99.60722702,17
7,95.87912088,99.60722702,18
7,95.87912088,99.9214454,19
7,95.87912088,99.9214454,20
8,78.2967033,81.85388845,1
